Sensor,DateTime_US_Pacific,Ipm25,Lat,Lon
SCTV_01,9/3/2020 2:30,58,33.720638,-117.416614
SCTV_01,9/3/2020 2:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 3:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 3:15,58,33.720638,-117.416614
SCTV_01,9/3/2020 3:30,58,33.720638,-117.416614
SCTV_01,9/3/2020 3:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 4:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 4:15,58,33.720638,-117.416614
SCTV_01,9/3/2020 4:30,58,33.720638,-117.416614
SCTV_01,9/3/2020 4:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 5:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 5:15,58,33.720638,-117.416614
SCTV_01,9/3/2020 5:30,57,33.720638,-117.416614
SCTV_01,9/3/2020 5:45,57,33.720638,-117.416614
SCTV_01,9/3/2020 6:00,57,33.720638,-117.416614
SCTV_01,9/3/2020 6:15,57,33.720638,-117.416614
SCTV_01,9/3/2020 6:30,57,33.720638,-117.416614
SCTV_01,9/3/2020 6:45,57,33.720638,-117.416614
SCTV_01,9/3/2020 7:00,57,33.720638,-117.416614
SCTV_01,9/3/2020 7:15,57,33.720638,-117.416614
SCTV_01,9/3/2020 7:30,57,33.720638,-117.416614
SCTV_01,9/3/2020 7:45,57,33.720638,-117.416614
SCTV_01,9/3/2020 8:00,57,33.720638,-117.416614
SCTV_01,9/3/2020 8:15,57,33.720638,-117.416614
SCTV_01,9/3/2020 8:30,57,33.720638,-117.416614
SCTV_01,9/3/2020 8:45,57,33.720638,-117.416614
SCTV_01,9/3/2020 9:00,57,33.720638,-117.416614
SCTV_01,9/3/2020 9:15,57,33.720638,-117.416614
SCTV_01,9/3/2020 9:30,57,33.720638,-117.416614
SCTV_01,9/3/2020 9:45,57,33.720638,-117.416614
SCTV_01,9/3/2020 10:00,57,33.720638,-117.416614
SCTV_01,9/3/2020 10:15,57,33.720638,-117.416614
SCTV_01,9/3/2020 10:30,57,33.720638,-117.416614
SCTV_01,9/3/2020 10:45,57,33.720638,-117.416614
SCTV_01,9/3/2020 11:00,57,33.720638,-117.416614
SCTV_01,9/3/2020 11:15,57,33.720638,-117.416614
SCTV_01,9/3/2020 11:30,57,33.720638,-117.416614
SCTV_01,9/3/2020 11:45,57,33.720638,-117.416614
SCTV_01,9/3/2020 12:00,57,33.720638,-117.416614
SCTV_01,9/3/2020 12:15,57,33.720638,-117.416614
SCTV_01,9/3/2020 12:30,58,33.720638,-117.416614
SCTV_01,9/3/2020 12:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 13:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 13:15,58,33.720638,-117.416614
SCTV_01,9/3/2020 13:30,58,33.720638,-117.416614
SCTV_01,9/3/2020 13:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 14:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 14:15,58,33.720638,-117.416614
SCTV_01,9/3/2020 14:30,58,33.720638,-117.416614
SCTV_01,9/3/2020 14:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 15:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 15:15,58,33.720638,-117.416614
SCTV_01,9/3/2020 15:30,59,33.720638,-117.416614
SCTV_01,9/3/2020 15:45,59,33.720638,-117.416614
SCTV_01,9/3/2020 16:00,59,33.720638,-117.416614
SCTV_01,9/3/2020 16:15,59,33.720638,-117.416614
SCTV_01,9/3/2020 16:30,60,33.720638,-117.416614
SCTV_01,9/3/2020 16:45,60,33.720638,-117.416614
